,Price,Year,Mileage,City,State,Vin,Make,Model,General Model,New Car Price
1474,27495,2016,5347,Fairfax, VA,JM3KE4DY6G0846328,Mazda,CX-52016.5,6,23800
1475,27947,2016,5,Countryside, IL,JM3KE4DY3G0881974,Mazda,CX-52016.5,6,23800
1476,21990,2016,12474,San Diego, CA,JM3KE2CYXG0836469,Mazda,CX-52016.5,6,23800
1477,26282,2016,7294,Hurst, TX,JM3KE2DY1G0809935,Mazda,CX-52016.5,6,23800
1478,24994,2016,6085,Lakeland, FL,JM3KE2DY4G0804194,Mazda,CX-52016.5,6,23800
1479,24497,2016,14402,Houston, TX,JM3KE2DY0G0642869,Mazda,CX-52016.5,6,23800
1480,5995,2007,128579,Virgina Beach, VA,JM1BK343771648996,Mazda,MAZDA35dr,3,21000
1481,7059,2007,80357,Durham, NC,JM1BK344X71761625,Mazda,MAZDA35dr,3,21000
1482,4495,2009,138577,Paoli, PA,JM1BK32G191200925,Mazda,MAZDA34dr,3,21000
1483,5990,2009,108001,Boardman, OH,JM1BK32F191197242,Mazda,MAZDA34dr,3,21000
1484,5200,2007,117500,Atlanta, GA,JM1BK32F871635199,Mazda,MAZDA34dr,3,21000
1485,6995,2007,63514,Honolulu, HI,JM1BK12F571750900,Mazda,MAZDA34dr,3,21000
1486,5456,2009,120818,Chandler, AZ,JM1BK32F791196063,Mazda,MAZDA34dr,3,21000
1487,9988,2007,92021,Alameda, CA,JM1BK34M971732360,Mazda,MAZDA35dr,3,21000
1488,7000,2009,94556,Seekonk, MA,JM1BK344491207676,Mazda,MAZDA35dr,3,21000
1489,6495,2007,118705,Germantown, MD,JM1BK343871744085,Mazda,MAZDA35dr,3,21000
1490,8999,2008,55349,Schaumburg, IL,JM1BK343881878838,Mazda,MAZDA35dr,3,21000
1491,5995,2007,105000,Canton, OH,JM1BK32F671764395,Mazda,MAZDA34dr,3,21000
1492,5790,2009,123360,Houston, TX,JM1BK32F091220302,Mazda,MAZDA34dr,3,21000
1493,5995,2009,73881,Miami, FL,JM1BK32F791193941,Mazda,MAZDA34dr,3,21000
1494,12978,2009,50931,Burley, ID,JM1BK34M591203801,Mazda,MAZDA35dr,3,21000
1495,8500,2007,107738,Raytown, MO,JM1BK34MX71720878,Mazda,MAZDA35dr,3,21000
1496,6200,2008,128690,Highland, IN,JM1BK343581866534,Mazda,MAZDA35dr,3,21000
1497,8995,2009,76604,Norfolk, VA,JM1BK343591192418,Mazda,MAZDA35dr,3,21000
1498,6998,2009,129598,Raleigh, NC,JM1BK32G291247297,Mazda,MAZDA34dr,3,21000
1499,4897,2007,152555,Berlin, NJ,JM1BK32G971741119,Mazda,MAZDA34dr,3,21000
1500,5000,2007,115448,McKinney, TX,1YVHP80C875M43057,Mazda,MAZDA64dr,6,23800
1501,10487,2007,102439,Puyallup, WA,JM1GG12L171110292,Mazda,MAZDA64dr,6,23800
1502,5990,2007,84893,Edgewater Park, NJ,1YVHP81C775M21713,Mazda,MAZDA64dr,6,23800
1503,5995,2008,82439,LA HABRA, CA,1YVHP80C285M19810,Mazda,MAZDA64dr,6,23800
1504,6900,2008,73190,Omaha, NE,1YVHP80C285M14333,Mazda,MAZDA64dr,6,23800
1505,8488,2009,105369,Gaithersburg, MD,1YVHP82A995M31398,Mazda,MAZDA64dr,6,23800
1506,6995,2007,140365,Great Falls, MT,1YVHP80D575M08825,Mazda,MAZDA64dr,6,23800
1507,4450,2007,148538,Fuquay-Varina, NC,1YVHP84C775M38233,Mazda,MAZDA65dr,6,23800
1508,5894,2008,105426,ORLANDO, FL,1YVHP80C885M32304,Mazda,MAZDA64dr,6,23800
1509,4746,2008,119062,Ansonia, CT,1YVHP80C685M04467,Mazda,MAZDA64dr,6,23800
1510,7995,2009,124458,LA HABRA, CA,1YVHP82B995M31054,Mazda,MAZDA64dr,6,23800
1511,9969,2009,63091,Longmont, CO,1YVHP82A395M27962,Mazda,MAZDA64dr,6,23800
1512,7984,2007,154180,Olympia, WA,1YVHP80D875M13680,Mazda,MAZDA64dr,6,23800
1513,5700,2008,115633,Jacksonville, NC,1YVHP80C585M34608,Mazda,MAZDA64dr,6,23800
1514,6840,2009,158067,Littleton, CO,1YVHP82A395M01331,Mazda,MAZDA64dr,6,23800
1515,5500,2008,134281,Round Rock, TX,1YVHP84CX85M00979,Mazda,MAZDA65dr,6,23800
1516,4990,2009,132816,Dallas, TX,1YVHP81A095M32179,Mazda,MAZDA64dr,6,23800
1517,7899,2008,82054,PLYMOUTH MEETING, PA,1YVHP80C485M41128,Mazda,MAZDA64dr,6,23800
1518,5990,2007,171084,Roanke, VA,1YVHP80C075M62475,Mazda,MAZDA64dr,6,23800
1519,7695,2009,122226,Ramsey, NJ,1YVHP82B095M21139,Mazda,MAZDA64dr,6,23800
1520,30000,2017,1815,Tampa, Fl,JM1NDAM72H0100703,Mazda,MX-5,MX-5,25730
1521,28987,2017,3554,North Huntingdon, PA,JM1NDAL74H0101448,Mazda,MX-5,MX-5,25730
1522,27900,2017,2200,Tampa, Fl,JM1NDAL79H0104264,Mazda,MX-5,MX-5,25730
1523,33950,2017,1099,Pensacola, FL,JM1NDAL70H0102628,Mazda,MX-5,MX-5,25730
1524,29990,2017,5367,Cary, NC,JM1NDAM73H0104078,Mazda,MX-5,MX-5,25730
1525,30827,2017,591,Sherwood, AR,JM1NDAM72H0100894,Mazda,MX-5,MX-5,25730
1526,28543,2017,441,Punta Gorda, FL,JM1NDAL71H0105120,Mazda,MX-5,MX-5,25730
1527,28986,2017,3038,Orange City, FL,JM1NDAL79H0101199,Mazda,MX-5,MX-5,25730
1528,29940,2017,1529,Littleton, CO,JM1NDAM70H0104328,Mazda,MX-5,MX-5,25730
1529,28998,2017,1673,Prescott, AZ,JM1NDAM71H0103902,Mazda,MX-5,MX-5,25730
1530,29288,2017,1718,Rockville, Md,JM1NDAM77H0103824,Mazda,MX-5,MX-5,25730
1531,27895,2017,1652,Delray Beach, FL,JM1NDAM70H0101459,Mazda,MX-5,MX-5,25730
1532,29800,2017,52,Atlanta, GA,JM1NDAM7XH0104675,Mazda,MX-5,MX-5,25730
1533,29875,2017,1095,Durham, NC,JM1NDAM71H0104127,Mazda,MX-5,MX-5,25730
1534,32995,2017,6992,IRVINE, CA,JM1NDAM78H0102455,Mazda,MX-5,MX-5,25730
1535,29400,2017,1547,Lutherville, MD,JM1NDAM74H0103800,Mazda,MX-5,MX-5,25730
1536,32495,2017,2575,Kirkland, WA,JM1NDAM78H0104271,Mazda,MX-5,MX-5,25730
1537,29981,2017,3111,Hamilton, NJ,JM1NDAM78H0100737,Mazda,MX-5,MX-5,25730
1538,28500,2017,1534,Ottumwa, IA,JM1NDAM78H0104223,Mazda,MX-5,MX-5,25730
1539,27559,2017,888,St. Louis, MO,JM1NDAM75H0103496,Mazda,MX-5,MX-5,25730
1540,11995,2014,16200,Naugatuck, CT,JM1BM1V78E1115200,Mazda,Mazda3i,3,21000
1541,10995,2014,49571,Waukesha, WI,JM1BM1U78E1186835,Mazda,Mazda3i,3,21000
1542,12999,2016,30308,Mesa, AZ,JM1BM1U71G1319180,Mazda,Mazda3i,3,21000
1543,15995,2014,37356,Philadelphia, PA,JM1BM1W35E1175222,Mazda,Mazda3s,3,21000
1544,17847,2017,4809,San Jose, CA,3MZBN1K73HM100691,Mazda,Mazda3,3,21000
1545,20810,2015,28917,Newark, CA,JM1BM1W37F1220534,Mazda,Mazda3s,3,21000
