,City,Make,Mileage,Model,Price,State,Vin,Year
5363,Vero Beach,GMC,33438.0,TerrainFWD,22195.0, FL,2GKALPEK9H6111720,2017.0
5364,Lincoln,GMC,19751.0,Sierra,39495.0, NE,3GTU2VECXFG515667,2015.0
5365,San Antonio,GMC,39220.0,Yukon2WD,44995.0, TX,1GKS1BKC4FR146659,2015.0
5366,London,GMC,14828.0,Savana,23075.0, OH,1GTW7AFF5G1904180,2016.0
5367,Tempe,GMC,111234.0,Yukon2WD,14988.0, AZ,1GKFC23C29R179187,2009.0
5368,Springfield,GMC,13451.0,CanyonExtended,19988.0, FL,1GTH5BEA9G1109658,2016.0
5369,Greenville,GMC,61002.0,TerrainFWD,18095.0, SC,2GKALMEK1E6253067,2014.0
5370,Hollywood,GMC,17337.0,Acadia,29977.0, FL,1GKKRSKD1HJ264221,2017.0
5371,Randolph,GMC,33050.0,Yukon,47995.0, NJ,1GKS2HKC9FR213269,2015.0
5372,Meridian,GMC,76738.0,Sierra,31997.0, MS,3GTU2VEC1EG190616,2014.0
5373,Brandywine,GMC,53025.0,Sierra,54999.0, MD,1GT120E8XFF600771,2015.0
5374,Carmel,GMC,3100.0,AcadiaAWD,43398.0, NY,1GKKNWLS4HZ221882,2017.0
5375,Victorville,GMC,15026.0,TerrainFWD,23995.0, CA,2GKALPEK0H6142760,2017.0
5376,Dyersburg,GMC,65245.0,TerrainFWD,15988.0, TN,2GKALWEK1C6295747,2012.0
5377,Big Stone Gap,GMC,28797.0,TerrainAWD,21999.0, VA,2GKFLVEK4E6227610,2014.0
5378,Montclair,GMC,21447.0,Yukon2WD,44999.0, CA,1GKS1BKC4HR127760,2017.0
5379,Freeport,GMC,38262.0,TerrainAWD,20596.0, NY,2GKFLWEK0E6208607,2014.0
5380,Mooresville,GMC,102464.0,AcadiaFWD,13988.0, NC,1GKKRPED2CJ220584,2012.0
5381,Charlottesville,GMC,12521.0,CanyonCrew,30294.0, VA,1GTG6CE35G1275272,2016.0
5382,Crystal Lake,GMC,76350.0,TerrainAWD,14390.0, IL,2GKFLTEK2C6296622,2012.0
5383,Louisville,GMC,13849.0,TerrainFWD,20500.0, KY,2GKALMEK6G6205468,2016.0
5384,Sioux Falls,GMC,110779.0,Sierra,34925.0, SD,1GT120C86CF240171,2012.0
5385,Graham,GMC,63015.0,TerrainFWD,15994.0, NC,2GKALWEK4D6281052,2013.0
5386,Monticello,GMC,24182.0,TerrainAWD,23840.0, MN,2GKFLSEK5H6115773,2017.0
5387,ROCHESTER,GMC,55039.0,AcadiaFWD,19985.0, NY,1GKKRNED3EJ199168,2014.0
5388,Wichita Falls,GMC,30429.0,Sierra,44977.0, TX,3GTU2PEJ9GG213525,2016.0
5389,San Jose,GMC,33196.0,Sierra,36491.0, CA,3GTU2VEC3EG424691,2014.0
5390,Newport News,GMC,34639.0,AcadiaAWD,28750.0, VA,1GKKVRKD6EJ162767,2014.0
5391,Hibbing,GMC,168372.0,Sierra,2900.0, MN,2GTEK19T831240957,2003.0
5392,Baltimore,GMC,108175.0,Yukon,28995.0, MD,1GKS2MEF1ER135017,2014.0
5393,Broken Arrow,GMC,38873.0,Sierra,38366.0, OK,3GTU2VEJ0FG406519,2015.0
5394,Gilbert,GMC,22597.0,Sierra,36991.0, AZ,3GTP1NEC0GG259072,2016.0
5395,Houston,GMC,10594.0,AcadiaFWD,28998.0, TX,1GKKNLLA8HZ189346,2017.0
5396,Gladstone,GMC,78606.0,TerrainAWD,14898.0, OR,2CTFLVE52B6251264,2011.0
5397,Springfield,GMC,84708.0,Sierra,20980.0, MO,1GTR2VE73DZ348977,2013.0
5398,Columbia,GMC,20864.0,Sierra,56800.0, KY,1GT12UE82GF108907,2016.0
5399,Troy,GMC,122699.0,Yukon4WD,24000.0, MO,1GKS2CE03CR277355,2012.0
5400,Buford,GMC,27469.0,Acadia,30230.0, GA,1GKKRSKD0HJ241044,2017.0
5401,Concord,GMC,66583.0,AcadiaAWD,23995.0, NC,1GKKVTED8CJ289459,2012.0
5402,Denton,GMC,89336.0,Sierra,23410.0, TX,3GTP2VE77CG283153,2012.0
5403,Hanford,GMC,85480.0,AcadiaAWD,20984.0, CA,1GKKVTED2CJ157751,2012.0
5404,Spokane Valley,GMC,104229.0,TerrainAWD,15999.0, WA,2CTFLXE55B6252307,2011.0
5405,Clive,GMC,44750.0,Sierra,38991.0, IA,3GTU2NEC6GG224472,2016.0
5406,Tinley Park,GMC,20117.0,AcadiaFWD,26355.0, IL,1GKKNLLA3HZ216808,2017.0
5407,West Bend,GMC,148218.0,Sierra,6488.0, WI,1GTEK19B75E214293,2005.0
5408,Hummels Wharf,GMC,113518.0,AcadiaAWD,17703.0, PA,1GKKVTED7CJ386801,2012.0
5409,Albuquerque,GMC,44782.0,TerrainFWD,22598.0, NM,2GKFLPE38G6231747,2016.0
5410,Sioux City,GMC,70666.0,TerrainFWD,16321.0, IA,2GKALMEKXC6323047,2012.0
5411,Tucson,GMC,184370.0,Yukon4WD,10900.0, AZ,1GKFK13008J188213,2008.0
5412,Bradenton,GMC,84642.0,Sierra,34989.0, FL,3GTU2WEJ0EG340672,2014.0
5413,Price,GMC,18296.0,Acadia,35910.0, UT,1GKKVSKD7HJ267832,2017.0
5414,ROCHESTER,GMC,23396.0,TerrainFWD,18545.0, NY,2GKALREK1E6363825,2014.0
5415,Milwaukee,GMC,102507.0,Sierra,31999.0, WI,1GT121E84DF220537,2013.0
5416,Indianapolis,GMC,69517.0,Sierra,32995.0, IN,3GTU2WEC0EG459338,2014.0
5417,Havre,GMC,162445.0,Sierra,23995.0, MT,1GTHK39668E189077,2008.0
5418,Palatine,GMC,89490.0,Yukon,26998.0, IL,1GKS2KE76DR234105,2013.0
5419,Carmel,GMC,44876.0,TerrainFWD,18990.0, IN,2GKALSEK9E6118309,2014.0
5420,Houston,GMC,74706.0,Savana,22999.0, TX,1GDGG29U951219483,2005.0
5421,Sioux Falls,GMC,51125.0,AcadiaAWD,26500.0, SD,1GKKVTED1CJ221939,2012.0
5422,Hanover,GMC,47890.0,Yukon4WD,42200.0, MA,1GKS2BKC8FR107375,2015.0
5423,Marlton,GMC,73752.0,TerrainFWD,14599.0, NJ,2GKALSEK7D6217175,2013.0
5424,Robstown,GMC,30235.0,Sierra,43598.0, TX,3GTU2WEJXFG525104,2015.0
5425,Waco,GMC,16003.0,Sierra,28995.0, TX,3GTP1VE09DG203066,2013.0
5426,Nashville,GMC,89805.0,YukonAWD,24498.0, TN,1GKS2EEF3BR165556,2011.0
5427,Cincinnati,GMC,123748.0,Sierra,7995.0, OH,1GTEK19T32E161578,2002.0
5428,Fremont,GMC,23617.0,TerrainFWD,22485.0, CA,2GKFLPE35G6141889,2016.0
5429,Fremont,GMC,88648.0,Yukon2WD,29988.0, CA,1GKS1EEF1DR153542,2013.0
5430,Wayne,GMC,27184.0,Sierra,33900.0, NJ,1GTV2VEC8FZ317061,2015.0
5431,Pinconning,GMC,33047.0,Sierra,23300.0, MI,3GTU2TEH6FG466709,2015.0
5432,El Paso,GMC,72558.0,TerrainFWD,14995.0, TX,2GKALMEKXE6338375,2014.0
5433,Spokane,GMC,96533.0,Sierra,23000.0, WA,3GTEK13M68G116038,2008.0
5434,Harrisburg,GMC,29964.0,AcadiaAWD,34500.0, PA,1GKKVTKD0FJ102773,2015.0
5435,Kansas City,GMC,5766.0,AcadiaAWD,29499.0, MO,1GKKNTLS3HZ141343,2017.0
5436,Bangor,GMC,197362.0,Sierra,8890.0, WI,1GTEK19B86Z221621,2006.0
5437,Marietta,GMC,86756.0,Yukon,24899.0, GA,1GKS2MEF0BR372464,2011.0
5438,Thomasville,GMC,7491.0,Sierra,43252.0, AL,3GTP1NEC4HG302152,2017.0
5439,South Jordan,GMC,220123.0,New,4000.0, UT,2GTEK19TXX1565633,1999.0
5440,Panama City,GMC,128170.0,Sierra,18900.0, FL,2GTEK638881131679,2008.0
5441,Snellville,GMC,71262.0,AcadiaFWD,21449.0, GA,1GKKRTED8CJ240265,2012.0
5442,Albuquerque,GMC,18362.0,Yukon4WD,50995.0, NM,1GKS2BKC7HR151502,2017.0
5443,Milwaukie,GMC,95895.0,Sierra,25431.0, OR,1GTHK23K37F525759,2007.0
5444,Cedar Knolls,GMC,26943.0,AcadiaAWD,28075.0, NJ,1GKKVRKD5EJ372986,2014.0
5445,Chesapeake,GMC,27638.0,TerrainFWD,21547.0, VA,2GKALNEK7G6182806,2016.0
5446,Savannah,GMC,29859.0,AcadiaFWD,22309.0, TN,1GKKRNEDXEJ369851,2014.0
5447,Burien,GMC,89770.0,TerrainAWD,14499.0, WA,2GKFLREK1D6150040,2013.0
5448,Grapevine,GMC,19163.0,Yukon4WD,54533.0, TX,1GKS2BKC8HR220925,2017.0
5449,Galveston,GMC,3228.0,Sierra,38756.0, TX,3GTP1MECXGG171155,2016.0
5450,West Columbia,GMC,140036.0,AcadiaFWD,9990.0, SC,1GKER337X8J223775,2008.0
5451,Sunnyvale,GMC,17047.0,AcadiaFWD,29888.0, CA,1GKKRRKD6FJ314004,2015.0
